cfg_nombre,prompt_mode,tipo,pacientes,dice_e_mean,dice_f_mean
baseline,auto,escoliosis,27,0.4424479199391729,0.6521522864701661
baseline,auto,normal,11,0.8304632083098473,0.8536255486421009
baseline,auto_norefiner,escoliosis,27,0.4220927730774465,0.624079829598747
baseline,auto_norefiner,normal,11,0.7854122549997535,0.8088030427656463
baseline,gt_box,escoliosis,27,0.9298539671246794,0.9298539671246794
baseline,gt_box,normal,11,0.9394768123185335,0.9394768123185335
leve_inferior,auto,escoliosis,27,0.44388411808026507,0.6486408011871725
leve_inferior,auto,normal,11,0.8436792781778243,0.8493550458237404
leve_inferior,auto_norefiner,escoliosis,27,0.4274759623474642,0.6243957098038397
leve_inferior,auto_norefiner,normal,11,0.7984357157590996,0.8041996914321683
leve_inferior,gt_box,escoliosis,27,0.9021054742990445,0.9021054742990445
leve_inferior,gt_box,normal,11,0.9313203721987406,0.9313203721987406
leve_simetrico,auto,escoliosis,27,0.4494491329479405,0.6532314792371287
leve_simetrico,auto,normal,11,0.832140180547729,0.8482948007438623
leve_simetrico,auto_norefiner,escoliosis,27,0.4251229370159962,0.6217881367758333
leve_simetrico,auto_norefiner,normal,11,0.7882135947517035,0.8029955012149625
leve_simetrico,gt_box,escoliosis,27,0.9239499561458459,0.9239499561458459
leve_simetrico,gt_box,normal,11,0.9372555754555615,0.9372555754555615
leve_superior,auto,escoliosis,27,0.42459079824145474,0.6403899821068536
leve_superior,auto,normal,11,0.8363319177955969,0.8512761258103729
leve_superior,auto_norefiner,escoliosis,27,0.40473212760324856,0.6158141732865532
leve_superior,auto_norefiner,normal,11,0.7955435164182935,0.8087723457912445
leve_superior,gt_box,escoliosis,27,0.9010958865801555,0.9010958865801555
leve_superior,gt_box,normal,11,0.9318314150470713,0.9318314150470713
moderado_inferior,auto,escoliosis,27,0.43676915913023867,0.6307863552948205
moderado_inferior,auto,normal,11,0.8508725161515046,0.8539270200956051
moderado_inferior,auto_norefiner,escoliosis,27,0.41986562469260374,0.6090779937770823
moderado_inferior,auto_norefiner,normal,11,0.8099994603066965,0.813216852140687
moderado_inferior,gt_box,escoliosis,27,0.8979266367778537,0.8979266367778537
moderado_inferior,gt_box,normal,11,0.9240296197699808,0.9240296197699808
moderado_simetrico,auto,escoliosis,27,0.4196133143731758,0.640399672732581
moderado_simetrico,auto,normal,11,0.6943721329760919,0.8224049998606724
moderado_simetrico,auto_norefiner,escoliosis,27,0.39934069260601207,0.611282813739861
moderado_simetrico,auto_norefiner,normal,11,0.6565605462070319,0.7787530389977415
moderado_simetrico,gt_box,escoliosis,27,0.9192537858129537,0.9192537858129537
moderado_simetrico,gt_box,normal,11,0.9349245280928258,0.9349245280928258
moderado_superior,auto,escoliosis,27,0.3891982499467656,0.6323969342823342
moderado_superior,auto,normal,11,0.8154656882525153,0.8352998893230961
moderado_superior,auto_norefiner,escoliosis,27,0.372699155654106,0.6089882575627977
moderado_superior,auto_norefiner,normal,11,0.7814914020334487,0.7980825470442411
moderado_superior,gt_box,escoliosis,27,0.8977784069347688,0.8977784069347688
moderado_superior,gt_box,normal,11,0.930527566660078,0.930527566660078
severo_inferior,auto,escoliosis,27,0.42436610588346935,0.6322766537068553
severo_inferior,auto,normal,11,0.8389722005042785,0.8429131564955661
severo_inferior,auto_norefiner,escoliosis,27,0.4031193890895108,0.602615374219218
severo_inferior,auto_norefiner,normal,11,0.7912017773638136,0.7953262354375515
severo_inferior,gt_box,escoliosis,27,0.8952773316806745,0.8952773316806745
severo_inferior,gt_box,normal,11,0.9261413419843302,0.9261413419843302
severo_simetrico,auto,escoliosis,27,0.3499651023780662,0.652137503753821
severo_simetrico,auto,normal,11,0.471086288666119,0.7901672195491756
severo_simetrico,auto_norefiner,escoliosis,27,0.32074445826611053,0.6292419082370143
severo_simetrico,auto_norefiner,normal,11,0.45710617082002036,0.7562376837508868
severo_simetrico,gt_box,escoliosis,27,0.9098858136201124,0.9098858136201124
severo_simetrico,gt_box,normal,11,0.9275899242162059,0.9275899242162059
severo_superior,auto,escoliosis,27,0.3719805669791657,0.6386964606303882
severo_superior,auto,normal,11,0.5775067630721523,0.8126687781428973
severo_superior,auto_norefiner,escoliosis,27,0.3487439048962766,0.6112188113013879
severo_superior,auto_norefiner,normal,11,0.5489881987635518,0.7898627247997274
severo_superior,gt_box,escoliosis,27,0.8903289787030526,0.8903289787030526
severo_superior,gt_box,normal,11,0.9231850929867665,0.9231850929867665
